Species,SRR1914382,SRR1914383,SRR1914384,SRR1914691,SRR1914696,SRR1914700,SRR1914713,SRR1914738,SRR1914742,SRR1914747,SRR1916193,SRR1916194,SRR1916195,SRR1916196,SRR1916197,SRR1916198,SRR1916199,SRR1916200,SRR1916201,SRR1916202,SRR1916203,SRR1916204,SRR1916205,SRR1916206,SRR1916207,SRR1916208,SRR1916209,SRR1916210,SRR1916211,SRR1916212,SRR1916213,SRR1916214,SRR1916215,SRR1916216,SRR1916217,SRR1916218,SRR1916219,SRR1916220
ASV_012758,29,29,29,42,42,42,29,0,0,0,29,0,42,0,0,0,42,0,0,0,0,0,0,42,0,0,0,0,29,29,0,29,42,0,42,0,0,42
ASV_013011,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,66,66,66,66,66,66,0,0,0,66,0,0,0,66,0,0,0,0,0,0,0
ASV_013339,0,0,0,64,64,64,0,0,0,0,0,0,64,0,0,0,64,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,64,0,64,0,0,64
ASV_013340,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,64,64,64,64,64,64,0,0,0,64,0,0,0,64,0,0,0,0,0,0,0
ASV_013530,0,0,0,63,63,63,0,0,0,0,0,0,63,0,0,0,63,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,63,0,63,0,0,63
ASV_013653,70,70,70,0,0,0,70,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,70,0,0,0,0,0,0
ASV_014095,0,0,0,0,0,0,0,45,45,45,0,0,0,45,45,45,0,0,0,0,0,0,0,0,45,45,0,45,0,0,0,0,0,45,0,45,45,0
ASV_014175,67,67,67,0,0,0,67,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,0,67,0,0,0,0,0,0
ASV_014334,0,0,0,0,0,0,0,44,44,44,0,0,0,44,44,44,0,0,0,0,0,0,0,0,44,44,0,44,0,0,0,0,0,44,0,44,44,0
ASV_014852,63,63,63,0,0,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,63,0,0,0,0,0,0
ASV_014853,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,56,56,56,56,56,56,0,0,0,56,0,0,0,56,0,0,0,0,0,0,0
ASV_015135,0,0,0,0,0,0,0,41,41,41,0,0,0,41,41,41,0,0,0,0,0,0,0,0,41,41,0,41,0,0,0,0,0,41,0,41,41,0
ASV_015386,0,0,0,0,0,0,0,40,40,40,0,0,0,40,40,40,0,0,0,0,0,0,0,0,40,40,0,40,0,0,0,0,0,40,0,40,40,0
ASV_015458,0,0,0,53,53,53,0,0,0,0,0,0,53,0,0,0,53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,53,0,53,0,0,53
ASV_015678,0,0,0,0,0,0,0,39,39,39,0,0,0,39,39,39,0,0,0,0,0,0,0,0,39,39,0,39,0,0,0,0,0,39,0,39,39,0
ASV_015926,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,51,51,51,51,51,51,0,0,0,51,0,0,0,51,0,0,0,0,0,0,0
ASV_016020,0,0,0,0,0,0,0,38,38,38,0,0,0,38,38,38,0,0,0,0,0,0,0,0,38,38,0,38,0,0,0,0,0,38,0,38,38,0
ASV_016182,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,50,50,50,50,50,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0
ASV_016183,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,50,50,50,50,50,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0
ASV_016365,0,0,0,0,0,0,0,37,37,37,0,0,0,37,37,37,0,0,0,0,0,0,0,0,37,37,0,37,0,0,0,0,0,37,0,37,37,0
ASV_016712,0,0,0,0,0,0,0,36,36,36,0,0,0,36,36,36,0,0,0,0,0,0,0,0,36,36,0,36,0,0,0,0,0,36,0,36,36,0
ASV_016713,0,0,0,0,0,0,0,36,36,36,0,0,0,36,36,36,0,0,0,0,0,0,0,0,36,36,0,36,0,0,0,0,0,36,0,36,36,0
ASV_016714,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48,48,48,48,48,48,0,0,0,48,0,0,0,48,0,0,0,0,0,0,0
ASV_017216,52,52,52,0,0,0,52,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,52,0,0,0,0,0,0
ASV_017272,0,0,0,46,46,46,0,0,0,0,0,0,46,0,0,0,46,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,46,0,46,0,0,46
ASV_017273,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,46,46,46,46,46,46,0,0,0,46,0,0,0,46,0,0,0,0,0,0,0
ASV_017458,0,0,0,0,0,0,0,34,34,34,0,0,0,34,34,34,0,0,0,0,0,0,0,0,34,34,0,34,0,0,0,0,0,34,0,34,34,0
ASV_017560,0,0,0,45,45,45,0,0,0,0,0,0,45,0,0,0,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,45,0,45,0,0,45
ASV_019154,0,0,0,0,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,30,0,30,30,0
ASV_019155,0,0,0,0,0,0,0,30,30,30,0,0,0,30,30,30,0,0,0,0,0,0,0,0,30,30,0,30,0,0,0,0,0,30,0,30,30,0
ASV_019631,0,0,0,0,0,0,0,29,29,29,0,0,0,29,29,29,0,0,0,0,0,0,0,0,29,29,0,29,0,0,0,0,0,29,0,29,29,0
ASV_019893,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,38,38,38,38,38,0,0,0,38,0,0,0,38,0,0,0,0,0,0,0
ASV_019894,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,38,38,38,38,38,0,0,0,38,0,0,0,38,0,0,0,0,0,0,0
ASV_020147,42,42,42,0,0,0,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,42,0,0,0,0,0,0
ASV_020148,42,42,42,0,0,0,42,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,42,0,0,0,0,0,0
